date,price
01/09/2015,1.35
01/10/2015,0.734307
01/11/2015,0.920847
01/12/2015,0.878316
01/01/2016,0.933712
01/02/2016,2.32
01/03/2016,6.32
01/04/2016,11.4
01/05/2016,8.78
01/06/2016,14.11
01/07/2016,12.44
01/08/2016,11.89
01/09/2016,11.67
01/10/2016,13.2
01/11/2016,10.96
01/12/2016,8.6
01/01/2017,7.98
01/02/2017,10.74
01/03/2017,15.85
01/04/2017,50.03
01/05/2017,79.32
01/06/2017,230.89
01/07/2017,293.35
01/08/2017,204.69
01/09/2017,383.47
01/10/2017,301.55
01/11/2017,305.76
